airport,latitude,longitude,municipality,country,country_code,city,state,postal_code,calling_code,timezone
Pune Airport,18.58209991455078,73.9197006225586,Pune,India,IN-MM,,Gujarat,,91,Asia/Kolkata
Porbandar Airport,21.6487007141,69.65720367429999,Porbandar,India,IN-GJ,,Maharashtra,415612,91,Asia/Kolkata
Ratnagiri Airport,17.013599,73.327797,,India,IN-MM,Rajkot,Gujarat,360001,91,Asia/Kolkata
Rajkot Airport,22.3092002869,70.77950286869998,Rajkot,India,IN-GJ,Raipur,Chhattisgarh,493332,91,Asia/Kolkata
Raipur Airport,21.180401,81.7388,Raipur,India,IN-CT,,Maharashtra,423109,91,Asia/Kolkata
Shirdi Airport,19.688611,74.378889,Shirdi,India,IN-MM,,Maharashtra,413004,91,Asia/Kolkata
Solapur Airport,17.6280002594,75.93479919430001,Solapur,India,IN-MM,,Gujarat,394320,91,Asia/Kolkata
Surat Airport,21.1140995026,72.7417984009,,India,IN-GJ,,Rajasthan,,91,Asia/Kolkata
Maharana Pratap Airport,24.617700576799997,73.89610290530001,Udaipur,India,IN-RJ,Harrisonburg,Virginia,22812,1,Asia/Kolkata
Burnpur Airport,23.631500244140625,86.97550201416016,,India,IN-WB,,Assam,786151,91,Asia/Kolkata
Sookerating Airport,27.55290031433105,95.5706024169922,,India,IN-AS,,Odisha,767029,91,Asia/Kolkata
Nuagaon Airport,20.511699676513672,83.4480972290039,,India,IN-OR,,Jharkhand,815301,91,Asia/Kolkata
Giridih Airport,24.20190048217773,86.28980255126953,,India,IN-BR,,West Bengal,735215,91,Asia/Kolkata
Hashimara Air Force Station,26.698299407958984,89.36910247802734,Jalpaiguri,India,IN-WB,,Jharkhand,822133,91,Asia/Kolkata
Daltonganj Airport,24.01930046081543,84.09510040283203,,India,IN-BR,,Odisha,754025,91,Asia/Kolkata
Cuttack Airport,20.54960060119629,85.88629913330078,,India,IN-OR,,Arunachal Pradesh,,91,Asia/Kolkata
Machuka Advanced Landing Ground,28.6024580064,94.1261386871,,India,IN-AR,,Madhya Pradesh,456664,91,Asia/Kolkata
Bentayan Airport,23.09510040283203,75.88529968261719,Ujjain,India,IN-MP,Darbhanga,Bihar,846004,91,Asia/Kolkata
Darbhanga Airport,26.192800521850586,85.91690063476562,,India,IN-BR,,Arunachal Pradesh,,91,Asia/Kolkata
Vijaynagar Advanced Landing Ground,27.193599700900002,97.0037002563,,India,IN-AR,Chhindwara,Madhya Pradesh,480001,91,Asia/Kolkata
Thuniabhand Airport,22.00160026550293,78.91719818115234,,India,IN-MP,,Arunachal Pradesh,791001,91,Asia/Kolkata
Along Airport,28.17530059814453,94.802001953125,,India,IN-AR,Agartala,Tripura,799001,91,Asia/Kolkata
Agartala Airport,23.8869991302,91.2404022217,Agartala,India,IN-TR,Aizawl,Mizoram,796190,91,Asia/Kolkata
