airport,latitude,longitude,municipality,country,country_code,city,state,postal_code,calling_code,timezone
Vir Savarkar International Airport,11.641200065612793,92.72969818115234,Port Blair,India,IN-AN,,Puducherry,605008,91,Asia/Kolkata
Pondicherry Airport,11.968,79.812,Pondicherry,India,IN-TN,,Andhra Pradesh,515134,91,Asia/Kolkata
Sri Sathya Sai Airport,14.1492996216,77.7910995483,Puttaparthi,India,IN-AP,,Telangana,505187,91,Asia/Kolkata
Basanth Nagar Airport,18.701,79.3923,Ramagundam,India,IN-TG,,Tamil Nadu,623522,91,Asia/Kolkata
Ramnad Naval Air Station,9.32509040833,78.971496582,Ramnad,India,IN-TN,,Andhra Pradesh,533289,91,Asia/Kolkata
Rajahmundry Airport,17.1103992462,81.81819915770001,Rajahmundry,India,IN-AP,,Tamil Nadu,636455,91,Asia/Kolkata
Salem Airport,11.78330039978,78.06559753418,Salem,India,IN-TN,,Tamil Nadu,641401,91,Asia/Kolkata
Coimbatore Air Force Station,11.01360034942627,77.15969848632812,Sulur,India,IN-TN,,Tamil Nadu,613005,91,Asia/Kolkata
Tanjore Air Force Base,10.722399711608887,79.10160064697266,Thanjavur,India,IN-TN,,Andhra Pradesh,517520,91,Asia/Kolkata
Tirupati Airport,13.632499694800005,79.543296814,Tirupati,India,IN-AP,Trichy Corporation Limits,Tamil Nadu,620020,91,Asia/Kolkata
Tiruchirapally Civil Airport Airport,10.765399932861328,78.70970153808594,Tiruchirappally,India,IN-TN,Thiruvananthapuram,Kerala,695001,91,Asia/Kolkata
Trivandrum International Airport,8.48211956024,76.9200973511,Thiruvananthapuram,India,IN-KL,Tambaram,Tamil Nadu,600045,91,Asia/Kolkata
Tambaram Air Force Station,12.90719985961914,80.12190246582031,Chennai,India,IN-TN,Vellore,Tamil Nadu,632010,91,Asia/Kolkata
Vellore Airport,12.90880012512207,79.06680297851562,Vellore,India,IN-TN,,Telangana,506166,91,Asia/Kolkata
Warangal Airport,17.9144,79.602203,Warangal,India,IN-TG,Bengaluru,Karnataka,562157,91,Asia/Kolkata
Yelahanka Air Force Station,13.135499954223633,77.60600280761719,Yelahanka,India,IN-KA,,བཀྲ་ཤིས་སྒང་རྫོང་ཁག་,,975,Asia/Kolkata
